origin,dest,count
1,1135,2
8,13289,1
9,1168,1
10,1180,7
12,1168,1
14,83033,1
14,83034,15
16,7241,14
17,7706,1
19,16510,1
20,14770,1
23,20057,5
26,20037,3
27,24693,1
28,11672,1
29,19768,1
29,28748,5
29,64702,1
29,67216,2
29,67220,3
29,67230,1
29,67281,2
30,11672,1
32,32940,1
32,36481,8
35,47204,1
39,16530,2
39,19769,1
39,23475,6
39,36478,8
39,36480,8
39,36487,8
39,39638,1
39,47680,3
39,60933,12
39,64705,1
39,67220,1
39,67221,2
39,67277,2
40,16530,1
41,32940,11
42,14955,1
42,23477,6
42,28749,1
42,28757,1
42,36618,1
42,67232,1
42,67288,1
43,47203,1
48,17788,1
49,34853,1
50,34853,2
51,59631,1
52,44136,1
54,24256,1
55,23634,1
57,24256,2
60,44136,1
61,44136,1
62,53810,32
63,40087,2
63,82609,3
64,47285,7
64,53810,9
66,89367,1
66,89376,1
67,4254,1
67,53810,9
68,9935,1
69,58687,18
73,59511,1
75,58702,14
76,58686,1
76,58687,1
77,89342,6
80,122,1
80,127,2
80,68789,1
80,68808,1
80,73799,1
80,73809,1
80,85519,1
84,73816,1
85,41756,2
86,14137,2
86,41733,2
87,87243,6
88,79369,3
89,72679,1
90,14809,1
90,20513,2
90,26952,1
90,45808,2
90,61633,1
91,14825,1
91,20496,2
91,26957,2
91,28871,1
91,41744,1
91,45844,1
92,73815,1
92,73894,1
94,1318,1
94,24652,1
94,27118,1
94,33328,1
94,70560,5
94,85698,1
97,55109,1
97,55119,1
97,70560,3
98,73894,1
98,73896,2
100,18901,1
103,55111,1
103,70561,3
104,73815,2
105,65234,2
107,42220,1
107,58801,1
109,65270,1
110,14124,1
110,65270,2
111,73890,2
113,14107,1
115,60792,1
117,24406,1
117,24407,1
119,73848,1
120,6696,1
120,28978,4
120,66070,1
121,73832,1
124,89527,1
126,2932,3
128,8939,2
131,80,12
131,67101,3
131,76572,1
133,14748,1
134,76572,1
135,16210,1
136,15559,1
136,26943,1
136,73862,1
137,73878,1
137,73910,1
138,33410,2
139,33673,3
140,4017,1
141,33675,3
142,24221,1
143,40775,2
144,24226,1
144,24227,1
145,24221,1
146,74180,6
147,42916,7
154,51815,1
155,51815,1
156,53382,5
157,64523,3
158,74862,1
159,53183,2
159,53203,1
160,64004,3
161,51748,1
163,8129,1
164,32927,1
166,52631,1
170,21592,1
171,74869,1
174,52271,1
175,52271,1
177,79648,2
178,74862,1
179,51776,1
179,52144,1
179,52192,5
180,33507,2
181,49324,1
182,8301,6
183,21561,1
189,46506,1
191,51723,1
193,89837,5
196,15015,5
196,15016,7
197,64028,1
198,51853,1
199,50085,2
206,52270,1
207,66781,5
209,66781,1
210,90038,1
210,90040,1
211,90042,1
213,62054,1
214,90045,2
216,90047,5
218,23184,7
218,90038,5
218,90039,1
218,90043,1
218,90045,1
220,90046,2
222,21646,1
223,34576,1
224,65640,1
225,75373,1
226,21642,5
228,75392,2
229,75367,15
230,65641,1
232,75357,1
233,7533,13
234,7061,1
234,7487,1
236,7536,19
236,35276,3
237,7536,2
238,7513,4
239,21763,4
241,7392,1
242,7513,4
243,957,1
244,57143,1
247,3900,5
247,82525,1
248,33891,1
249,37647,2
250,44438,1
251,37743,1
252,37743,1
253,16435,2
254,16433,2
256,16459,3
257,16435,6
258,83437,1
