origin,dest,count
10018,10387,22
10030,10034,1
10030,10268,40
10030,10323,2
10030,10387,1
10034,10060,12
10034,10067,1
10034,10081,1
10034,10325,1
10034,10343,2
10034,10362,2
10034,10387,2
1004,1053,1
1004,1142,1
1004,1390,74
1004,38247,3
10060,10034,12
10061,10081,6
10061,10287,2
10067,10034,1
10067,10081,5
10067,10321,4
10067,10362,2
10067,10387,1
10081,10061,8
10081,10067,5
10081,10123,11
10081,10268,264
10081,10287,14
10081,10362,1
10081,10381,6
10081,10387,4
10081,26324,1
1010,74016,13
10123,10081,9
10123,10287,2
10224,10387,14
10230,10323,7
10239,10387,6
1025,1246,8
1025,1343,18
1025,1365,18
1025,1457,7
1025,69104,9
1025,71270,10
10260,10343,1
10260,10387,7
10265,10268,25
10268,10030,33
10268,10081,188
10268,10265,25
10268,10268,5
10268,10297,8
10268,10321,2
10268,10323,5
10268,10325,2
10268,10333,20
10268,10343,3
10268,10352,7
10268,10362,10
10268,10387,53
10268,10420,12
10268,34172,1
10268,75056,3
10268,77134,7
10287,10081,14
10287,10123,2
10287,10387,1
10297,10268,5
10297,10343,5
10297,77186,1
10321,10067,1
10321,10268,2
10321,10335,5
10323,10081,1
10323,10230,8
10323,10268,10
10325,10081,2
10325,10268,6
10325,10325,1
10325,10333,1
10325,10387,8
10325,76451,1
10325,89387,1
1033,1269,13
1033,1313,8
1033,1354,9
1033,1419,2
1033,74012,3
1033,74016,10
1033,74243,6
10333,10224,1
10333,10268,20
10333,51649,1
10333,89024,1
10335,10081,1
10335,10265,1
10335,10387,8
1034,73300,12
10343,10034,2
10343,10081,1
10343,10268,7
10343,10297,9
10343,10387,1
10352,10268,8
10362,10034,2
10362,10067,4
10362,10081,1
10362,10224,1
10362,10268,13
10362,10297,1
10362,10387,1
10381,10081,8
10387,10018,17
10387,10030,3
10387,10034,2
10387,10081,4
10387,10123,1
10387,10224,13
10387,10239,6
10387,10260,6
10387,10268,61
10387,10287,1
10387,10325,10
10387,10335,10
10387,10343,1
10387,10357,4
10387,10387,2
10387,10401,5
10387,10406,9
10387,42147,1
10387,6088,2
10401,10297,2
10401,10357,2
10401,10387,5
10406,10333,1
10406,10387,16
10420,10081,1
10420,10268,14
1043,69123,8
1043,69266,12
1047,69123,2
1047,69266,23
1049,69034,3
1049,69123,9
1049,69266,4
1049,69290,9
1053,1093,2
1053,1265,10
1053,69029,3
1053,69123,1
1053,69256,1
1053,71270,2
1053,81004,1
1089,1283,2
1089,69266,3
1089,74133,4
1093,1053,1
1093,69019,12
1103,1173,5
1103,1313,16
11069,11069,15
11069,11076,1
11069,11206,12
11069,11262,23
11069,31555,1
11069,34116,3
11069,34172,1
11069,34281,1
11069,73065,1
11076,11069,2
11076,31254,2
11076,31555,3
11206,11069,6
11262,11069,23
11262,31555,1
11262,34022,1
11262,34032,12
11262,34172,3
11262,34217,1
11262,34270,1
11262,6029,1
11262,66136,1
1134,1053,2
1134,71270,6
11359,31254,8
1142,1283,4
1142,69266,4
1143,1143,1
1143,1173,2
1160,74112,3
1173,1103,5
1173,1143,3
1173,1160,1
1173,1354,7
1173,1419,3
1183,69123,9
1194,69034,4
1194,69072,4
1194,69116,5
1194,69123,6
1202,38557,17
12033,12169,8
12033,12202,11
12056,12202,13
12089,15133,8
1213,1390,13
12145,34134,1
12145,34164,1
12169,12033,8
12169,12202,14
12169,81004,3
12198,12202,5
12198,12300,10
12202,12033,12
12202,12056,12
12202,12169,14
12202,12198,6
12202,64102,1
12202,81004,9
12300,12198,11
12305,15133,10
1244,1053,1
1244,1390,37
1244,69256,1
1246,1025,9
1249,1053,1
1249,69123,4
1249,73008,1
1265,1053,10
1265,1283,11
1283,1142,6
1283,1265,6
1283,69266,3
1290,1390,6
1290,69290,23
13001,13001,91
13001,13004,1
13001,13005,2
13001,13007,1
13001,13015,10
13001,13019,1
13001,13028,17
13001,13032,5
13001,13037,6
13001,13040,15
13001,13051,1
13001,13054,12
13001,13055,120
13001,13056,1
13001,13071,1
13001,13081,2
13001,13087,83
13001,13088,8
13001,13092,1
13001,13099,24
13001,13103,7
13001,13106,4
13001,13110,12
13001,13117,46
13001,34199,1
13001,34332,1
13001,4112,5
13001,6079,1
13001,83023,25
13001,83037,9
13001,83057,7
13001,83090,8
13001,83116,21
13001,83126,8
13001,83129,1
13001,83137,36
13001,84007,3
13001,84035,4
13001,84043,1
13001,84081,2
13001,84089,30
13002,13028,3
13002,13055,15
13002,13117,7
13004,13001,2
13004,13047,6
13004,13081,23
13004,30189,5
13004,30344,14
13004,34120,1
13004,34172,9
13004,34327,3
13004,84007,7
13005,13007,1
13005,13028,1
13005,13040,7
13005,13046,1
13005,13055,12
13005,13060,4
13005,13110,2
13005,13117,1
13005,83035,2
13005,83126,1
13007,13005,1
13007,13055,12
13010,84007,9
13014,13055,9
13015,13041,4
13015,13055,5
13015,84089,3
13016,13046,5
13016,13055,2
13016,13105,1
13019,13015,1
13019,34172,1
13019,83023,3
13019,83037,5
13021,13001,1
13021,13015,1
13021,13019,4
13021,13055,7
13026,13001,1
13026,13055,9
13027,30011,1
13027,30217,1
13027,84007,19
13027,84092,5
13027,84141,1
13028,13001,21
13028,13002,2
13028,13055,45
13030,13028,8
13030,13041,2
13032,13001,5
13032,13069,4
13032,13117,1
13033,13019,3
13033,13055,14
13036,84007,6
13037,13001,10
13037,13055,8
13039,13039,5
13039,13055,7
13039,13063,2
13039,31555,1
13040,13001,15
13040,13004,2
13040,13005,8
13040,13055,1
13040,13117,1
13041,13015,8
13041,13042,5
13041,13054,3
13041,13055,9
13041,13087,2
13041,13117,14
13041,34164,3
13042,13007,4
13042,13041,12
13042,83090,5
13044,13055,3
13044,84007,4
13045,84007,3
13045,84141,3
13046,13005,1
13046,13054,5
13046,13055,4
13047,13004,3
13047,13054,4
13047,13055,3
13047,13056,1
13047,13069,4
13047,13103,1
13047,13112,2
1305,71204,6
13051,13001,1
13051,13055,2
13051,34095,1
13051,34217,2
13051,84031,1
13054,13001,14
13054,13041,4
13054,13055,9
13054,13063,16
13054,13092,2
13054,34172,8
13054,84137,1
13054,93072,1
13055,13001,170
13055,13002,8
13055,13005,20
13055,13007,10
13055,13014,12
13055,13015,2
13055,13026,13
13055,13028,31
13055,13037,7
13055,13039,11
13055,13040,2
13055,13041,5
13055,13046,3
13055,13047,5
13055,13054,9
13055,13055,148
13055,13056,27
13055,13071,24
13055,13077,17
13055,13081,3
13055,13099,11
13055,13103,10
13055,13112,1
13055,13117,105
13055,34032,1
13055,34123,1
13055,34172,1
13055,34198,1
13055,34239,1
13055,5061,1
13055,6069,4
13055,7019,1
13055,71076,1
13055,83023,4
13055,83035,4
13055,83069,1
13055,83090,3
13055,83116,1
13055,83126,1
13055,83137,25
13055,84007,11
13055,84031,3
13055,84036,1
13055,84089,5
13056,13001,1
13056,13039,3
13056,13054,1
13056,13055,26
13056,13117,25
13059,13001,9
13059,4112,1
13060,13001,1
13060,13005,7
13060,83143,2
13060,84007,3
13062,13001,6
13063,13001,2
13063,13039,2
13063,13054,18
13063,30217,1
13063,84007,7
13066,13117,4
13066,84007,6
13069,13001,1
13069,13005,1
13069,13032,13
13069,13047,10
13071,13001,1
13071,13041,1
13071,13055,23
13071,13087,1
13077,13055,19
13081,13004,17
13081,13055,4
13081,34172,1
13086,13001,7
13086,13055,1
13087,13001,75
13087,13041,2
13087,13106,3
13087,13112,7
13087,83116,2
13091,13001,4
13091,13105,2
13092,13001,1
13092,13054,2
13092,13117,8
13096,30351,4
13096,34129,3
13096,34164,1
13096,34172,2
13096,84007,7
13099,13001,25
13099,13055,10
13099,4112,1
13099,83116,12
13099,84089,18
13103,13001,5
13103,13055,13
13103,13056,1
13103,13097,9
13103,13117,4
13103,34172,4
13103,84007,10
13103,84035,1
13105,13051,2
13105,13103,1
13105,84007,2
13105,84043,1
13110,13001,9
13110,13005,1
13112,13047,4
13112,13055,1
13112,13087,16
13112,34095,1
13117,13001,28
13117,13002,7
13117,13005,2
13117,13015,2
13117,13032,1
13117,13040,1
13117,13041,15
13117,13053,3
13117,13055,85
13117,13056,22
13117,13066,2
13117,13092,5
13117,13103,4
13117,13118,12
13117,34090,1
13117,83116,24
13117,84007,2
13117,84054,10
13117,84087,6
13118,13117,12
1313,1033,5
1313,1103,18
1313,1354,19
1320,71076,7
1343,1025,20
1354,1033,14
1354,1173,9
1354,1313,19
1361,38557,6
1365,1343,6
1365,71270,14
1366,1004,2
1366,1390,5
1366,69123,5
1366,69266,11
1376,69029,11
1376,69123,4
1376,69266,24
1378,38557,10
1378,69266,4
1386,1390,26
1390,1004,52
1390,1213,13
1390,1244,22
1390,1386,8
1390,38247,14
1390,38557,8
1390,69029,10
1390,69034,6
1390,69123,68
1390,69202,6
1390,69256,4
1390,69266,129
14046,14118,5
14046,76157,2
14047,14118,17
14047,14137,11
14047,14566,1
14047,50025,2
14047,50502,9
1407,74016,16
14076,14118,8
14076,76498,3
14101,14118,11
14101,14713,7
14101,50502,11
14101,61006,3
14101,76069,1
14101,76540,1
14117,14118,1
14117,76039,3
14117,76157,4
14117,76212,2
14117,76231,2
14117,76319,1
14117,76378,2
14117,76429,2
14117,76497,1
14117,76540,8
14117,76550,1
14117,76575,2
14117,76681,4
14118,14047,16
14118,14117,1
14118,14118,1
14118,14137,2
14118,14220,14
14118,14228,3
14118,14258,10
14118,14271,1
14118,14301,6
14118,14366,8
14118,14557,11
14118,14627,7
14118,14663,3
14118,14699,7
14118,14712,3
14118,14738,4
14118,14752,1
14118,14762,21
14118,50025,1
14118,50502,2
14118,61169,3
14118,76165,2
14118,76484,2
14118,76498,1
14118,76540,7
14118,76608,1
14118,76705,2
14137,14047,7
14137,14327,1
14137,14663,3
14167,14117,1
14167,14347,4
14203,14333,3
14203,14754,10
14203,27065,3
14203,50042,1
14203,61006,1
14203,76540,1
14220,14118,12
14220,14327,2
14220,14366,1
14220,14724,1
14220,27580,1
14220,76116,1
14220,76165,1
14220,76216,2
14220,76322,2
14220,76351,7
14220,76410,1
14220,76474,2
14220,76484,2
14220,76497,1
14220,76498,4
14220,76540,16
14220,76681,2
14220,76705,1
14220,95539,1
14228,14118,5
14228,76157,1
14254,14437,7
14258,14118,11
14258,14341,8
14258,14437,4
14258,61006,1
14301,14118,19
14301,76575,1
14327,14228,1
14327,14663,1
14327,14712,5
14327,76212,1
14327,76322,1
14327,76497,2
14327,76540,3
14333,14203,2
14333,27065,11
14333,76088,1
14333,76231,2
14333,76313,1
14333,76319,3
14333,76351,4
14333,76391,3
14333,76484,2
14333,76497,3
14333,76498,3
14333,76536,1
14333,76540,4
14333,76561,1
14333,76681,1
14333,76705,6
14341,14117,1
14341,14174,1
14341,14258,4
14341,14627,3
14341,50502,1
14341,76322,3
14341,76540,1
14341,76575,1
14347,14762,5
14366,14118,5
14366,14220,3
14366,14699,2
14366,27616,1
14366,76322,4
14366,76484,1
14366,76536,2
14384,76540,1
14384,76575,4
14384,76681,1
14437,14258,4
14437,14431,7
14437,76391,1
14437,76540,3
14482,14437,7
14488,14118,3
14488,14203,4
14488,14327,5
14488,76377,3
14488,76540,1
14488,76575,3
14488,76705,1
14514,14118,4
14514,14220,2
14514,14333,5
14514,76319,2
14514,76351,2
14514,76497,1
14514,76540,1
14514,76681,2
14536,14514,3
14536,76305,17
14536,76351,9
14536,76540,3
14557,14118,11
14557,76540,3
14566,14047,5
14566,14220,3
14566,14752,2
14566,50601,3
14566,76540,7
1457,1025,8
14627,14118,7
14627,14341,4
14663,14137,7
14689,61287,10
14712,76131,1
14712,76377,3
14712,76391,1
14712,76540,1
14713,14101,6
14713,14118,6
14715,76212,1
14715,76322,1
14715,76351,7
14715,76377,3
14715,76540,10
14715,76575,2
14738,14061,10
14738,50185,7
14738,50639,6
14752,14101,8
14752,14118,7
14752,14566,3
14752,22343,5
14752,76377,1
14754,14203,12
14754,76216,2
14754,76497,4
14754,76498,1
14754,76540,1
14754,76681,2
14762,14118,14
14762,14271,6
14762,14341,1
14762,14347,4
14762,14437,1
14762,14752,7
14762,50099,1
14762,50502,1
14762,61169,17
14764,61169,24
15014,15133,21
15014,15196,1
15122,15133,32
15133,12089,8
15133,12305,10
15133,15014,22
15133,15122,26
15133,15196,21
15133,15212,14
15133,15267,11
15184,15014,2
15184,15133,7
15196,15014,2
15196,15133,25
15212,15133,12
15258,15014,13
15267,15133,11
16015,16015,2
16015,16028,2
16015,16089,4
16015,45234,1
16028,16015,3
16028,17197,3
16102,16015,5
16102,16358,13
16102,17299,1
16102,17415,21
16113,16015,4
16113,16102,1
16163,16102,8
16358,16089,8
16358,16102,1
16358,16217,7
17003,17028,2
17003,17194,1
17003,17291,6
17003,17300,28
17003,17443,1
17003,17449,28
17008,17010,2
17008,17200,6
17008,17264,3
17008,17274,8
17008,17291,3
17008,17300,11
17009,17010,1
17009,17142,1
17009,17274,9
17009,17291,4
17009,17300,33
17009,17373,1
17010,17009,1
17010,17021,1
17010,17028,11
17010,17142,1
17010,17161,1
17010,17194,11
17010,17200,2
17010,17274,6
17010,17291,2
17010,17299,5
17010,17300,39
17010,17315,3
17010,17373,4
17010,17407,2
17010,17414,1
17010,17415,1
17010,17443,3
17010,17447,1
17010,17466,5
17010,79081,7
17021,17028,19
17021,17264,1
17028,17003,4
17028,17009,2
17028,17010,9
17028,17019,1
17028,17021,14
17028,17028,1
17028,17041,1
17028,17094,1
17028,17127,6
17028,17136,13
17028,17142,7
17028,17146,15
17028,17158,15
17028,17166,5
17028,17168,1
17028,17194,2
17028,17203,1
17028,17207,1
17028,17218,2
17028,17219,2
17028,17264,2
17028,17274,2
