id,name,lat,lon
1,Abbeville,50.101,1.857
2,Abbeville,50.101,1.866
3,Abbeville,50.102,1.824
4,Abbeville,50.102,1.864
5,Abbeville,50.103,1.837
6,Abbeville,50.103,1.838
7,Abbeville,50.104,1.824
8,Abbeville,50.104,1.828
9,Abbeville,50.104,1.841
10,Abbeville,50.106,1.838
11,Abbeville,50.107,1.836
12,Abbeville,50.107,1.837
13,Abbeville-Saint-Lucien,49.516,2.168
14,Abbeville-Saint-Lucien,49.516,2.169
15,Abbeville-Saint-Lucien,49.517,2.18
16,Abbeville-Saint-Lucien,49.519,2.176
17,Abbeville-Saint-Lucien,49.519,2.177
18,Ableiges,49.067,1.969
19,Ableiges,49.068,1.965
20,Ableiges,49.069,1.964
21,Ableiges,49.072,1.965
22,Ableiges,49.072,1.966
23,Ableiges,49.073,1.966
24,Ableiges,49.073,1.968
25,Ableiges,49.074,1.965
26,Ableiges,49.074,1.966
27,Ableiges,49.093,1.977
28,Ablis,48.511,1.84
29,Ablis,48.512,1.832
30,Ablis,48.512,1.842
31,Ablis,48.513,1.833
32,Ablis,48.514,1.84
33,Ablis,48.515,1.835
34,Ablis,48.515,1.837
35,Ablis,48.516,1.83
36,Ablis,48.516,1.832
37,Ablis,48.516,1.834
38,Ablis,48.517,1.828
39,Ablis,48.517,1.832
40,Ablis,48.519,1.826
41,Ablis,48.519,1.832
42,Ablis,48.519,1.838
43,Ablis,48.52,1.827
44,Ablis,48.52,1.837
45,Ablis,48.523,1.818
46,Ablis,48.525,1.828
47,Ablis,48.526,1.831
48,Ablis,48.526,1.833
49,Ablis,48.526,1.834
50,Ablis,48.526,1.835
51,Ablis,48.526,1.836
52,Ablis,48.527,1.834
53,Ablis,48.529,1.831
54,Ablis,48.529,1.832
55,Ablis,48.529,1.846
56,Ablis,48.53,1.833
57,Ablis,48.531,1.832
58,Ablis,48.531,1.851
59,Ablis,48.532,1.831
60,Ablis,48.532,1.857
61,Ablis,48.536,1.877
62,Ablon-sur-Seine,48.721,2.411
63,Ablon-sur-Seine,48.721,2.417
64,Ablon-sur-Seine,48.722,2.411
65,Ablon-sur-Seine,48.722,2.413
66,Ablon-sur-Seine,48.723,2.421
67,Ablon-sur-Seine,48.724,2.411
68,Ablon-sur-Seine,48.724,2.412
69,Ablon-sur-Seine,48.724,2.422
70,Ablon-sur-Seine,48.724,2.426
71,Ablon-sur-Seine,48.724,2.43
72,Ablon-sur-Seine,48.724,2.432
73,Ablon-sur-Seine,48.725,2.423
74,Ablon-sur-Seine,48.725,2.424
75,Ablon-sur-Seine,48.725,2.425
76,Ablon-sur-Seine,48.725,2.427
77,Ablon-sur-Seine,48.725,2.431
78,Ablon-sur-Seine,48.726,2.429
79,Ablon-sur-Seine,48.727,2.421
80,Achères,48.947,2.07
81,Achères,48.95,2.068
82,Achères,48.951,2.062
83,Achères,48.952,2.074
84,Achères,48.953,2.063
85,Achères,48.954,2.06
86,Achères,48.954,2.061
87,Achères,48.954,2.074
88,Achères,48.955,2.062
89,Achères,48.955,2.064
90,Achères,48.955,2.065
91,Achères,48.955,2.066
92,Achères,48.956,2.069
93,Achères,48.956,2.072
94,Achères,48.956,2.073
95,Achères,48.957,2.067
96,Achères,48.957,2.07
97,Achères,48.957,2.072
