id,name,lat,lon
10018,Auxon,48.109,3.916
10030,Barberey-Saint-Sulpice,48.333,4.022
10034,Bar-sur-Seine,48.118,4.373
1004,Ambérieu-en-Bugey,45.954,5.342
10060,Bréviandes,48.26,4.096
10061,Brévonnes,48.352,4.401
10067,Buchères,48.226,4.132
10081,La Chapelle-Saint-Luc,48.324,4.03
1010,Anglefort,45.913,5.808
10123,Dienville,48.348,4.53
10224,Marigny-le-Châtel,48.402,3.736
10230,Mergey,48.384,4.006
10239,Mesnil-Sellières,48.341,4.213
1025,Bâgé-Dommartin,46.314,4.941
10260,Moussey,48.22,4.105
10265,Les Noës-près-Troyes,48.304,4.047
10268,Nogent-sur-Seine,48.513,3.513
10287,Piney,48.363,4.333
10297,Pont-Sainte-Marie,48.32,4.102
10321,La Rivière-de-Corps,48.291,4.032
10323,Romilly-sur-Seine,48.508,3.738
10325,Rosières-près-Troyes,48.264,4.07
1033,Valserhône,46.111,5.826
10333,Saint-André-les-Vergers,48.28,4.044
10335,Saint-Benoist-sur-Vanne,48.237,3.679
1034,Belley,45.759,5.691
10343,Saint-Julien-les-Villas,48.268,4.088
10352,Sainte-Maure,48.357,4.048
10357,Saint-Parres-aux-Tertres,48.294,4.14
10362,Sainte-Savine,48.294,4.055
10381,Torvilliers,48.287,3.97
10387,Troyes,48.284,4.083
10401,Vendeuvre-sur-Barse,48.231,4.458
10406,Verrières,48.235,4.148
10420,Villenauxe-la-Grande,48.59,3.554
1043,Beynost,45.833,5.006
1047,Blyes,45.842,5.261
1049,La Boisse,45.84,5.048
1053,Bourg-en-Bresse,46.205,5.218
1089,Château-Gaillard,45.972,5.304
1093,Châtillon-sur-Chalaronne,46.128,4.958
1103,Chevry,46.281,6.038
11069,Carcassonne,43.227,2.33
11076,Castelnaudary,43.3,1.955
11170,Gruissan,43.115,3.102
1118,Corbonod,45.985,5.796
11206,Limoux,43.05,2.218
11262,Narbonne,43.181,2.986
1134,Crottet,46.267,4.893
11359,Saint-Michel-de-Lanès,43.324,1.755
